Class,Subclass2,Subclass3,Subclass4,Subclass5,Subclass6,Subclass7,Subclass8,nuclex_nid,parent_OBO,obo_id,obo_axiom,radlex_purl,radlex_axiom,playbook_rpid,umls_cui,umls_axiom,nci_thesaurus_code,nci_thesaurus_axiom,snomedct_code,snomedct_axiom,ibsi_code,ibsi_axiom,dicom_code,Other,Other_axiom,Measurement?,Assignment ID,Approver/Endorser ID,Comments,Synonyms,Definitions ,ro:has_part,ro:is_part_of,ro:uses,ro:is_made_of,ro:treats,ro:has_input,ro:has_output,ro:is_about,nuclex:is_theranostic_pair,nuclex:binds_to,nuclex:is_radiolabeled_analog_of,,,,,,,
,,,,,,initial staging positron emission tomography scan,,nuclex:000049,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"staging PET scan, staging PET exam, staging PET study",A positron emission tomography scan performed to determine the extent and anatomical sites of a known malignancy at the time of initial diagnosis or prior to initiating primary treatment.,,,,,,,,,,,,,,,,,,
,,,,,,diagnosis positron emission tomography scan,,nuclex:000050,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"initial diagnosis PET scan, diagnostic PET scan, diagnostic PET exam, diagnostic PET study",A positron emission tomography scan conducted to help establish or clarify a diagnosis of a suspected condition.,,,,,,,,,,,,,,,,,,
,,,,,,treatment response assessment positron emission tomography scan,,nuclex:000051,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"follow-up PET, treatment response assessment PET",A positron emission tomography scan conducted to assess change in disease status during or after an intervention.,,,,,,,,,,,,,,,,,,
,,,,,,,interim treatment response assessment positron emission tomography,nuclex:000052,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"interim therapy PET, interim treatment PET",A positron emission tomography scan conducted to assess change in disease status during an intervention.,,,,,,,,,,,,,,,,,,
,,,,,,restaging positron emission tomography scan,,nuclex:000053,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"restaging PET scan, restaging PET study, restaging PET exam, treatment response assessment PET scan, treatment response assessment PET study, treatment response assessment PET exam","A positron emission tomography scan performed to re-evaluate the extent of a known malignancy, typically after a course of treatment or when disease recurrence or progression is suspected.",,,,,,,,,,,,,,,,,,
,,,,,,surveillance positron emission tomography scan,,nuclex:000054,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"surveillance PET scan, surveillance PET study, surveillance PET exam, monitoring PET scan, monitoring PET study, monitoring PET exam, follow-up PET scan, follow-up PET exam, follow-up PET study","A positron emission tomography scan performed in patients with a prior history of cancer to monitor for potential disease recurrence or progression, often at scheduled intervals.",,,,,,,,,,,,,,,,,,
,,,,,oncologic single-photon emission computed tomography scan,,,nuclex:000055,,,,,,RPID6182,,,,,,,,,,,,,,1001;1002;1004,,"oncology SPECT, oncologic SPECT scan, oncoloigc SPECT study","A SPECT scan for oncologic diagnosis, staging, or treatment evaluation.",,,,,,,,,,,,,,,,,,
,,,,,neuroendocrine ,,,nuclex:000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,nuclex:000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,nuclex:000058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
